id,category,name,description,xref,provided_by,synonym,deprecated,iri,object,predicate,relation,same_as,subject,subsets,hop
EC:3.5.1.5,biolink:Enzyme|biolink:PhenotypicQuality,urease,,,Graph,,,http://purl.obolibrary.org/obo/EC_3.5.1.5,,,,,,,1.0
CHEBI:16199,biolink:ChemicalEntity|biolink:ChemicalSubstance,Urea,A carbonyl group with two C-bound amine groups. The commercially available fertilizer has an analysis of 46-0-0 (N-P2O5-K2O).,CAS-RN:57-13-6|DrugBank:DB03904|Drug_Central:4264|ECMDB:ECMDB04172|Gmelin:1378|HMDB:HMDB0000294|KEGG:C00086|KEGG:D00023|KNApSAcK:C00007314|MetaCyc:UREA|PDBeChem:URE|PMID:18037357|PMID:22770225|PPDB:1728|Reaxys:635724|UM-BBD_compID:c0165|Wikipedia:Urea|YMDB:YMDB00003,Graph,1728|Carbamide|E927b|H2NC(O)NH2|Harnstoff|Karbamid|UREA|Urea|carbamide|carbonyldiamide|ur|urea|uree,,http://purl.obolibrary.org/obo/CHEBI_16199|http://purl.obolibrary.org/obo/CHEBI_16199,,,,,,3_STAR,1.0
CHEBI:17634,biolink:ChemicalEntity|biolink:ChemicalSubstance,(-)-D-glucose,A glucose with D-configuration.,CAS-RN:50-99-7,Graph,D(+)-glucose|D-(+)-glucose|D-gluco-hexose|D-glucose|Traubenzucker|dextrose|grape sugar,,http://purl.obolibrary.org/obo/CHEBI_17634,,,,,,3_STAR,1.0
CHEBI:17992,biolink:ChemicalEntity|biolink:ChemicalSubstance,sucrose,A glycosyl glycoside formed by glucose and fructose units joined by an acetal oxygen bridge from hemiacetal of glucose to the hemiketal of the fructose.,CAS-RN:57-50-1|DrugBank:DB02772|Drug_Central:4610|Gmelin:97695|HMDB:HMDB0000258|KEGG:C00089|KEGG:D00025|KEGG:D06533|KEGG:G00370|KNApSAcK:C00001151|MetaCyc:SUCROSE|PDBeChem:SUC|PMID:11021636|PMID:11093712|PMID:11111003|PMID:12065720|PMID:12706980|PMID:13508893|PMID:15291457|PMID:15660210|PMID:15792978|PMID:15845855|PMID:16228482|PMID:16304615|PMID:16313996|PMID:16525719|PMID:16660545|PMID:16663947|PMID:16665852|PMID:17233733|PMID:17439666|PMID:17597061|PMID:18625236|PMID:19199566|PMID:19726178|PMID:21703290|PMID:21972845|PMID:22085755|PMID:22311778|PMID:22404833|PMID:22751876|Reaxys:1435311|Reaxys:90825|Wikipedia:Sucrose,Graph,1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside|Cane sugar|SUCROSE|Saccharose|Sacharose|Sucrose|White sugar|beta-D-Fruf-(2<->1)-alpha-D-Glcp|beta-D-fructofuranosyl alpha-D-glucopyranoside|sacarosa|sucrose|table sugar,,http://purl.obolibrary.org/obo/CHEBI_17992,,,,,,3_STAR,1.0
CHEBI:17306,biolink:ChemicalEntity|biolink:ChemicalSubstance,m,A glycosylglucose consisting of two D-glucopyranose units connected by an alpha-(1->4)-linkage.,CAS-RN:69-79-4|DrugBank:DB03323|KEGG:C00208|KEGG:D00044|KEGG:G00275|KNApSAcK:C00001140|PMID:16332759|PMID:17723085|PMID:22094343|PMID:22185612|PMID:22246222|PMID:22252265|PMID:22411612|PMID:22424089|PMID:22451670|PMID:22469630|PMID:22529943|PMID:22573161|PMID:22669197|Reaxys:1292747|Wikipedia:Maltose,Graph,1-alpha-D-Glucopyranosyl-4-alpha-D-glucopyranose|4-(alpha-D-glucopyranosido)-alpha-glucopyranose|4-(alpha-D-glucosido)-D-glucose|4-O-alpha-D-glucopyranosyl-D-glucopyranose|4-O-alpha-D-glucopyranosyl-D-glucose|Cextromaltose|D-(+)-maltose|D-maltose|Malt sugar|Maltose|Malzzucker|alpha-D-Glcp-(1->4)-D-Glcp|alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose|alpha-D-glucopyranosyl-(1->4)-D-glucopyranose|alpha-D-glucopyranosyl-(1->4)-D-glucose|alpha-malt sugar|maltobiose,,http://purl.obolibrary.org/obo/CHEBI_17306,,,,,,3_STAR,1.0
CHEBI:16024,biolink:ChemicalEntity|biolink:ChemicalSubstance,D-mannose,A mannose with D-configuration.,,Graph,D-manno-hexose|D-mannose,,http://purl.obolibrary.org/obo/CHEBI_16024,,,,,,3_STAR,1.0
EC:1.11.1.6,biolink:Enzyme|biolink:PhenotypicQuality,catalase,,,Graph,,,http://purl.obolibrary.org/obo/EC_1.11.1.6,,,,,,,1.0
EC:3.5.3.6,biolink:Enzyme|biolink:PhenotypicQuality,arginine dihydrolase,,,Graph,arginine dihydrolase,,http://purl.obolibrary.org/obo/EC_3.5.3.6,,,,,,,1.0
EC:3.4.11.1,biolink:Enzyme|biolink:PhenotypicQuality,leucine arylamidase,,,Graph,cytosol aminopeptidase|leucine aminopeptidase|peptidase S,,http://purl.obolibrary.org/obo/EC_3.4.11.1,,,,,,,1.0
CHEBI:16988,biolink:ChemicalEntity|biolink:ChemicalSubstance,(-)-D-ribose,A ribose in which the chiral carbon atom furthest away from the aldehyde group (C4') has the same configuration as in D-glyceraldehyde.,DrugBank:DB01936|PMID:24404872|PMID:24752650,Graph,D-Rib|D-ribo-pentose|D-ribose,,http://purl.obolibrary.org/obo/CHEBI_16988,,,,,,3_STAR,1.0
