subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
Abdomen	abdomen	UBERON:0000916	abdomen	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdom	2026-05-01
Abort	abort							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0041526 (disease); abortion-as-event has no clean isolation-source ontology	2026-05-02
Abscess	abscess	UBERON:0006548	abscess	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0005227 (disease); UBERON has abscess as tissue/structure	2026-05-02
Acidic	acidic	PATO:0001429	acidic	PATO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An medium acidity quality inhering in a solution by virtue of the bearer's a high concentration of H+ ions.	2026-05-01
Activated-sludge	activated sludge	ENVO:00002046	activated sludge	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Agriculture	agriculture	ENVO:01001442	agriculture	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A land use process during which terrestrial environments are modified such that they can grow crop plants or allow the r	2026-05-01
Air	air	ENVO:00002005	air	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide,	2026-05-01
Air-conditioner	air conditioner							codex_review_fix	bacdive	fix(codex): was NCIT:C196790 (Air Conditioner and Humidifier Lung *disease*) — wrong; no clean ontology term	2026-05-02
Airways	airways	UBERON:0001005	respiratory airway	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='airways'	2026-05-01
Algae	algae	FOODON:03411301	algae	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An informal term for a large, diverse group of photosynthetic eukaryotic organisms that are not necessarily closely rela	2026-05-01
Alkaline	alkaline	PATO:0001430	alkaline	PATO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An medium acidity quality inhering in a solution by virtue of the bearer's a low concentration of H+ ions.	2026-05-01
Alpine	alpine	ENVO:01000340	alpine	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Requested term with preliminary def. See Issue 29 on the envo tracker.	2026-05-01
Amniotic-fluid	amniotic fluid	UBERON:0000173	amniotic fluid	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Amniotic fluid is a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnio	2026-05-01
Amphibia	amphibia	NCBITaxon:8292	Amphibia	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Anaerobic-digestor	anaerobic digestor							codex_review_fix	bacdive	fix(codex): non-CURIE 'Anaerobic-digestor' from OLS GOLD result; unmapped	2026-05-02
Animal-feed	animal feed	ENVO:02000047	animal feed	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Most animal feed is from plants but some is of animal origin. Fodder refers particularly to food given to the animals (i	2026-05-01
Animal-habitation-Nest,Burrow	animal habitation nest burrow	ENVO:01000429	burrow	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='burrow'	2026-05-01
Animal-produced-food-natural	animal produced food natural	NCIT:C85060	Natural	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='natural'	2026-05-01
Ankle	ankle	UBERON:0001488	ankle joint	UBERON	skos:closeMatch	medium	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was 'ankle nerve' (UBERON:0003446); ankle joint is the closest anatomical structure	2026-05-02
Annelida	annelida	NCBITaxon:6340	Annelida	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Anoxic-anaerobic	anoxic anaerobic	PATO:0001456	anaerobic	PATO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='anaerobic'	2026-05-01
Antibiotic-treatment	antibiotic treatment	PRIDE:0001000	antibiotic treatment	PRIDE	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='antibiotic treatment'	2026-05-01
Aquaculture	aquaculture	ENVO:03600074	aquaculture farm	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	An agricultural aquatic ecosystem in which fish, crustaceans, mollusks, aquatic plants and algae are cultivated.	2026-05-01
Aquatic	aquatic	ENVO:00002030	aquatic biome	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.	2026-05-01
Aquatic-mammal	aquatic mammal	FOODON:03411134	mammal	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='mammal'	2026-05-01
Aquatic-plant	aquatic plant	FOODON:03401156	50122200 - aquatic plants prepared/processed (gs1 gpc)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Arid	arid	ENVO:01000230	arid	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An environmental condition in which annual precipitation is less than half of annual potential evapotranspiration.	2026-05-01
Arm	arm	UBERON:0001460	arm	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The part of the forelimb extending from the shoulder to the autopod[cjm].	2026-05-01
Arthropoda	arthropoda	NCBITaxon:6656	Arthropoda	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Aspirate	aspirate	NCIT:C13347	Aspirate	NCIT	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Fluid withdrawn from a body cavity, organ, cyst, or tumor.	2026-05-01
Bacteria	bacteria	NCBITaxon:2	Bacteria	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
